整租 · 10AM新坐标 1室0厅 4900元,朝阳方庄,4900元/月
整租 ·   14号线北工大西门磨房南里小区精装一居,朝阳北工大,5000元/月
整租 · 世纪金色嘉园 1室0厅 4000元,丰台北京南站,4000元/月
整租 · 太平桥西里 1室1厅 5000元,丰台太平桥,5000元/月
西罗园二区 1室1厅 4600元,丰台西罗园,4600元/月
天鑫家园 1室0厅 4100元,昌平霍营,4100元/月
整租 · 兴隆都市馨园 1室0厅 5000元,东城崇文门,5000元/月
"整租 ·   农光里近地铁简装一居室,有钥匙随时可看",朝阳劲松,4800元/月
整租 · 半壁店六建宿舍 1室1厅 4600元,海淀田村,4600元/月
整租 ·   南三环 马家堡 未来66 精装开间,丰台马家堡,4800元/月
整租 · 蓝郡国际花园 1室0厅 3000元,昌平西关环岛,3000元/月
西引力 1室0厅 4500元,石景山八角,4500元/月
雅丽世居 1室1厅 3400元,通州果园,3400元/月
整租 · 半壁店六建宿舍 1室1厅 4800元,海淀田村,4800元/月
通典铭居 1室0厅 3800元,通州通州北苑,3800元/月
整租 ·   龙泽苑东区带电梯集中供暖南向开间,昌平回龙观,4800元/月
整租 · 政馨园一区 1室1厅 5000元,丰台宋家庄,5000元/月
葛布店南里 1室0厅 3600元,通州果园,3600元/月
整租 · 龙泽苑东区 1室0厅 4800元,昌平回龙观,4800元/月
西现代城 1室0厅 3800元,石景山杨庄,3800元/月
DBC加州小镇 1室0厅 3200元,通州临河里,3200元/月
整租 ·   红庙北里大开间 东北向 带家具家电,朝阳红庙,5000元/月
整租 · 中海御鑫阁 1室0厅 4700元,丰台科技园区,4700元/月
蓝调沙龙东区 1室0厅 3500元,通州九棵树(家乐福),3500元/月
西引力 1室1厅 4500元,石景山八角,4500元/月
整租 · 西马金润二区 1室1厅 4500元,丰台马家堡,4500元/月
整租 · 巴克寓所 1室0厅 3800元,通州果园,3800元/月
整租 · 红莲南里 1室1厅 4900元,西城马连道,4900元/月
整租 ·   烟厂宿舍南向正规一居室，家具家电全齐，拎包入住,朝阳管庄,4200元/月
整租 ·   业主出租炫特嘉园一期有独立式厨房大开间,朝阳石佛营,5000元/月
整租 ·   双安双榆树青云人大附近带电梯一居室,海淀皂君庙,4000元/月
湾子街社区 1室1厅 4500元,西城太平桥,4500元/月
整租 · 马家堡西里精装朝南一居室   家具家电齐全,丰台马家堡,4500元/月
整租 · 玉泉路  一居室 可长租 随时看房,石景山玉泉路,3800元/月
整租 ·   六里桥莲怡园一区大一居室出租拎包入住,丰台六里桥,5000元/月
整租 · 10AM新坐标 1室0厅 4800元,朝阳方庄,4800元/月
鼎晟国际 1室0厅 3700元,通州新华大街,3700元/月
整租 · 当代名筑 1室0厅 3700元,通州梨园,3700元/月
时尚街区东区 1室1厅 4300元,通州梨园,4300元/月
整租 · 14号线方庄站 方庄 蒲黄榆 一居室 拎包入住 价格可谈,朝阳方庄,4300元/月
整租 · 富卓苑 1室1厅 4100元,丰台马家堡,4100元/月
整租 ·   马家堡西里精装全齐一居室   看房方便有钥匙,丰台马家堡,4200元/月
中海御鑫阁 1室0厅 4700元,丰台科技园区,4700元/月
整租 ·   华龙美树北向精装修开间，家具家电可聊，近地铁,朝阳管庄,4000元/月
三槐家园东区 1室1厅 3000元,大兴瀛海,3000元/月
彩虹新城 1室1厅 4300元,大兴枣园,4300元/月
苏荷时代 1室1厅 4500元,通州果园,4500元/月
芳源里 1室1厅 4000元,大兴旧宫,4000元/月
整租 · 碣石坪 1室1厅 3900元,石景山鲁谷,3900元/月
兴海家园星苑 1室1厅 4000元,大兴西红门,4000元/月
整租 · 永定路西里 1室1厅 5000元,海淀五棵松,5000元/月
整租 · 永泰庄甲6号院 1室1厅 4800元,海淀清河,4800元/月
整租 · 荣丰2008 1室0厅 4000元,西城广安门,4000元/月
整租 · 北机家属院 1室1厅 2800元,通州果园,2800元/月
正邦嘉园一期 1室1厅 4900元,丰台刘家窑,4900元/月
整租 ·   北沙滩地铁站，懿品阁温馨开间，电梯房,朝阳南沙滩,5000元/月
住欣家园 1室1厅 4500元,朝阳常营,4500元/月
富强东里 1室1厅 3300元,大兴黄村中,3300元/月
整租 ·   万年花城二期首经贸站 一居拎包入住 随时看房有钥匙,丰台玉泉营,5000元/月
丽园B区 1室1厅 4300元,大兴枣园,4300元/月
整租 · 新华街一里 1室1厅 4200元,丰台看丹桥,4200元/月
整租 新龙城 开间，随时入住，看房方便  租售房源,昌平回龙观,4600元/月
蓝郡国际花园 1室0厅 3300元,昌平西关环岛,3300元/月
整租 · 当代名筑 1室0厅 3400元,通州梨园,3400元/月
整租 ·   石佛营西里 南向中间层 正规一居室 随时看房,朝阳石佛营,4800元/月
整租 ·   北工大  松榆东里  南向 装修好 一居,朝阳北工大,5000元/月
整租 ·   基本随时可租租户正在收拾东西搬家，新坐标精装开间,朝阳方庄,4300元/月
首邑上城 1室1厅 4300元,大兴枣园,4300元/月
整租 ·   郁花园一里精装全齐正规一居室，中间楼层,大兴郁花园,4600元/月
整租 · 八场宿舍 1室1厅 4800元,石景山鲁谷,4800元/月
通泰国际公馆 1室1厅 4000元,亦庄开发区亦庄,4000元/月
新奥洋房 1室0厅 5000元,东城永定门,5000元/月
整租 · 新通国际花园 1室1厅 4500元,通州梨园,4500元/月
整租 · 左右坊 1室0厅 4300元,丰台马家堡,4300元/月
清秀园北区 1室1厅 2600元,昌平东关,2600元/月
住欣家园 1室1厅 4800元,朝阳常营,4800元/月
整租 · 新通国际花园 1室1厅 4500元,通州梨园,4500元/月
整租 ·   科技园区设计师广场44.69平优质开间,丰台科技园区,4400元/月
整租 · 永华北里 1室1厅 3200元,大兴黄村中,3200元/月
整租 · 美然动力A1区 1室1厅 5000元,朝阳定福庄,5000元/月
中塔园 1室1厅 5000元,海淀定慧寺,5000元/月
时尚街区东区 1室1厅 3700元,通州梨园,3700元/月
育新花园 1室1厅 4800元,海淀西三旗,4800元/月
定安西里 1室1厅 4400元,丰台木樨园,4400元/月
整租 · 站前巴黎 1室1厅 4300元,通州梨园,4300元/月
太平桥西里 1室1厅 4900元,丰台太平桥,4900元/月
整租 · 弘善家园 1室0厅 5000元,朝阳潘家园,5000元/月
